,src_id,dest_id,month,time_taken
0,28,290,5,540.0
3,28,1016,1,42.441651705565526
4,28,1016,2,38.375059045819555
5,28,1016,3,83.31088266572138
6,28,1016,4,127.55426917510854
7,28,1016,5,30.746150809317015
8,28,1016,6,122.26921512810085
9,28,1016,7,30.781373322809788
10,28,1016,8,93.88601036269431
11,28,1016,9,99.1556091676719
12,28,1016,10,127.55426917510854
13,28,1016,11,93.88601036269431
15,28,1099,1,65.11669658886895
16,28,1099,2,65.38922155688623
17,28,1099,3,70.4563726649326
18,28,1099,4,80.8972503617945
19,28,1099,5,82.92028413575375
20,28,1099,6,81.0492069947133
21,28,1099,7,82.92028413575375
22,28,1099,8,81.86528497409327
23,28,1099,9,81.32689987937273
24,28,1099,10,80.8972503617945
25,28,1099,11,81.86528497409327
26,28,1099,12,74.80049261083744
31,41,1048,1,120.0
32,41,1048,2,120.0
33,41,1048,3,120.0
34,41,1048,4,120.0
35,41,1048,5,120.0
36,41,1048,6,120.0
37,41,1048,7,54.74320241691843
38,41,1048,8,120.0
39,41,1048,9,120.0
40,41,1048,10,120.0
41,41,1048,11,120.0
42,41,1048,12,69.97684113015285
43,41,1116,1,8.46815834767642
44,41,1116,2,39.502262443438916
45,41,1116,3,58.123496391339216
46,41,1116,4,51.80558930741191
48,41,1116,6,60.10655737704918
50,41,1116,8,44.869565217391305
51,41,1116,9,50.247578040904195
52,41,1116,10,78.05825242718447
53,41,1116,11,40.51517939282429
58,53,856,4,23.930635838150287
60,53,856,6,12.99469964664311
63,53,856,9,2.2836468885672936
64,53,856,10,23.930635838150287
70,53,1110,4,172.65370467682607
71,53,1110,5,73.43801652892562
72,53,1110,6,167.08480565371025
73,53,1110,7,71.34728033472804
74,53,1110,8,137.72853185595568
75,53,1110,9,142.42836468885673
76,53,1110,10,172.65370467682607
77,53,1110,11,137.72853185595568
82,58,320,4,39.71735443753533
83,58,320,5,9.533213644524237
84,58,320,6,33.69355094279829
85,58,320,7,9.533213644524237
86,58,320,8,1.8525896414342629
87,58,320,9,47.71321462043112
88,58,320,10,39.71735443753533
89,58,320,11,1.8525896414342629
91,58,1016,1,31.74228675136116
92,58,1016,2,33.1193100143747
115,98,1016,1,125.3072625698324
116,98,1016,2,125.59646539027982
117,98,1016,3,2.518463810930576
144,128,1000,1,120.0
145,128,1000,2,120.0
146,128,1000,3,120.0
147,128,1000,4,120.0
148,128,1000,5,120.0
149,128,1000,6,120.0
150,128,1000,7,120.0
151,128,1000,8,120.0
152,128,1000,9,120.0
153,128,1000,10,120.0
154,128,1000,11,120.0
155,128,1000,12,120.0
156,131,362,1,177.06703910614524
157,131,362,2,177.5687622789784
158,131,362,3,177.99254373386864
159,131,362,4,178.32335329341316
160,131,362,5,176.12403100775194
161,131,362,6,168.9212175470009
162,131,362,7,126.69956816779765
163,131,362,8,119.0691114245416
164,131,362,9,123.00164925783398
165,131,362,10,145.68705321683876
166,131,362,11,115.1594746716698
167,131,362,12,65.04382244840261
179,131,1128,7,82.80074028377545
180,131,1128,8,77.475317348378
181,131,1128,9,83.08960967564596
182,131,1128,10,106.41779189833201
183,131,1128,11,74.74671669793621
185,141,461,1,114.08333333333333
186,141,461,2,173.77647918188458
187,141,461,3,154.09891984081864
188,141,461,4,168.21852731591449
189,141,461,5,7.2400513478818995
190,141,461,6,179.58685028876056
191,141,461,7,240.0
192,141,461,8,240.0
193,141,461,9,240.0
194,141,461,10,240.0
195,141,461,11,240.0
196,141,461,12,185.84021005251313
197,141,665,3,360.0
199,141,665,5,360.0
200,141,665,6,360.0
201,141,813,1,61.75
202,141,813,2,118.71407696054554
203,141,813,3,99.29857819905213
204,141,813,4,112.42857142857143
206,141,813,6,27.273939124638968
227,154,1179,1,32.903225806451616
228,154,1179,2,74.18875927889714
229,154,1179,3,60.553185633686525
230,154,1179,4,70.48710601719198
232,154,1179,6,64.39259855189059
233,154,1179,7,43.13167259786477
234,154,1179,8,31.836734693877553
235,154,1179,9,38.02656546489563
236,154,1179,10,71.04815864022663
237,154,1179,11,27.246376811594203
238,154,1179,12,2.144318646842177
239,156,491,1,119.09274193548387
240,156,491,2,119.04559915164369
241,156,491,3,119.00921976056144
242,156,491,4,118.96848137535817
243,156,491,5,119.16512059369202
244,156,491,6,118.98632341110218
245,156,491,7,119.19928825622776
246,156,491,8,119.08163265306122
247,156,491,9,118.719165085389
248,156,491,10,118.30028328611898
249,156,491,11,118.38969404186795
250,156,491,12,105.2434865639067
251,156,902,1,127.56048387096774
252,156,902,2,127.95334040296925
253,156,902,3,128.25650199532132
254,156,902,4,128.59598853868195
255,156,902,5,126.95732838589981
256,156,902,6,128.4473049074819
