,src_id,dest_id,hour,time_taken
0,28,290,8,540.0
3,28,1016,1,122.8892455858748
4,28,1016,2,120.0
5,28,1016,3,120.0
6,28,1016,5,120.0
7,28,1016,6,156.44913627639156
8,28,1016,7,154.84004127966978
9,28,1016,8,158.70573248407644
10,28,1016,9,154.37881873727088
11,28,1016,10,161.5887156644395
12,28,1016,11,163.85814735554877
13,28,1016,12,162.9274696422711
14,28,1016,13,161.34328358208955
15,28,1016,14,158.92271662763466
16,28,1016,15,162.99852724594993
17,28,1016,16,162.510183299389
18,28,1016,17,163.65736284889317
19,28,1016,18,161.8933271761718
20,28,1016,19,155.878979632193
21,28,1016,20,153.00925925925927
22,28,1016,21,154.2945843394274
23,28,1016,22,129.01267767960047
24,28,1016,23,124.79452054794521
25,28,1099,0,67.42268041237114
26,28,1099,1,60.0
27,28,1099,2,60.0
28,28,1099,5,63.693009118541035
29,28,1099,6,63.1413612565445
30,28,1099,7,110.87404277792447
31,28,1099,8,110.09174311926606
32,28,1099,9,101.75764993880048
33,28,1099,10,68.61143523920653
34,28,1099,11,70.36153036153036
35,28,1099,12,68.06048269845886
36,28,1099,13,70.36153036153036
37,28,1099,14,99.97520917260614
38,28,1099,15,95.45315682281058
39,28,1099,16,60.0
40,28,1099,17,60.0
41,28,1099,18,60.0
42,28,1099,19,60.0
43,28,1099,20,60.0
44,28,1099,21,66.25827814569537
45,28,1099,22,99.93071593533487
46,28,1099,23,70.0
50,41,1048,1,120.0
51,41,1048,2,120.0
52,41,1048,5,120.0
53,41,1048,6,120.0
54,41,1048,7,120.0
55,41,1048,8,120.0
56,41,1048,9,120.0
57,41,1048,10,120.0
58,41,1048,11,120.0
59,41,1048,12,120.0
60,41,1048,13,120.0
61,41,1048,14,120.0
62,41,1048,15,120.0
63,41,1048,16,120.0
64,41,1048,17,120.0
65,41,1048,18,120.0
66,41,1048,19,120.0
67,41,1048,20,120.0
68,41,1048,21,120.0
69,41,1048,22,120.0
70,41,1048,23,120.0
72,41,1116,1,120.0
73,41,1116,2,120.0
74,41,1116,5,120.0
75,41,1116,6,116.01910828025478
76,41,1116,7,113.06908267270668
77,41,1116,8,120.0
78,41,1116,9,120.0
79,41,1116,10,120.0
80,41,1116,11,120.0
81,41,1116,12,8.512783579402232
82,41,1116,13,120.0
83,41,1116,14,120.0
84,41,1116,15,106.50918635170603
85,41,1116,16,120.0
86,41,1116,17,120.0
87,41,1116,18,120.0
88,41,1116,19,120.0
89,41,1116,20,120.0
90,41,1116,21,120.0
91,41,1116,22,120.0
92,41,1116,23,120.0
94,53,856,1,360.0
95,53,856,2,360.0
96,53,856,5,160.0
97,53,856,6,160.97211155378486
98,53,856,7,164.60456942003515
99,53,856,8,174.7078651685393
100,53,856,9,171.51594354417145
101,53,856,10,174.2981977061715
102,53,856,11,176.838468183127
103,53,856,12,181.09853528628494
104,53,856,13,175.42600896860986
105,53,856,14,189.05027932960894
106,53,856,15,193.25856320097
107,53,856,16,190.3957219251337
108,53,856,17,190.06092715231787
109,53,856,18,186.35781172991622
110,53,856,19,182.67601683029454
111,53,856,20,175.91204037490988
112,53,856,21,176.63385826771653
113,53,856,22,183.41517857142858
114,53,856,23,156.02298850574712
116,53,1110,1,135.06976744186048
117,53,1110,2,120.0
118,53,1110,5,70.22727272727273
119,53,1110,6,120.99676972773419
120,53,1110,7,169.89595375722544
121,53,1110,8,208.60961046346318
122,53,1110,9,213.94529195160442
123,53,1110,10,213.52848928384736
124,53,1110,11,214.387078165561
125,53,1110,12,217.23760267721326
126,53,1110,13,220.76972833117722
127,53,1110,14,219.93896236012208
128,53,1110,15,222.30396902226525
129,53,1110,16,217.49326951839666
130,53,1110,17,222.17160212604404
131,53,1110,18,227.41463414634146
132,53,1110,19,220.70301291248205
133,53,1110,20,218.12113720642768
134,53,1110,21,204.16907514450867
135,53,1110,22,161.78394449950446
136,53,1110,23,126.2937062937063
138,58,320,1,68.1203007518797
139,58,320,2,60.0
140,58,320,4,60.0
141,58,320,5,60.0
142,58,320,6,60.0
143,58,320,7,110.827565452904
144,58,320,8,111.87822777928785
145,58,320,9,112.7018469656992
146,58,320,10,109.60929250263992
147,58,320,11,79.23843416370107
148,58,320,12,86.93703308431164
149,58,320,13,90.98548510313216
150,58,320,14,88.31605291383626
151,58,320,15,120.0
152,58,320,16,120.0
153,58,320,17,120.0
154,58,320,18,115.44205340938554
155,58,320,19,74.6797153024911
156,58,320,20,64.19727177334732
157,58,320,21,63.49514563106796
158,58,320,22,63.16251830161054
159,58,320,23,63.37895971842002
161,58,1016,1,58.63212435233161
162,58,1016,2,60.0
163,58,1016,3,60.0
164,58,1016,5,2.9086809470124013
165,58,1016,6,28.887728459530027
166,58,1016,7,86.87830687830687
167,58,1016,8,95.14752219994271
168,58,1016,9,91.49959903769046
169,58,1016,10,98.77320419693301
170,58,1016,11,66.86944634313055
171,58,1016,12,65.35943060498221
172,58,1016,13,68.71606749816581
173,58,1016,14,51.8931475029036
174,58,1016,15,52.889989388043865
175,58,1016,16,84.60339943342777
176,58,1016,17,81.57321720195972
177,58,1016,18,79.14961466914696
178,58,1016,19,82.04111964329948
179,58,1016,20,83.45549738219896
180,58,1016,21,101.1417450535193
181,58,1016,22,62.8798267773367
182,58,1016,23,58.550512445095166
184,98,404,1,154.3231441048035
185,98,404,2,120.0
186,98,404,3,120.0
187,98,404,5,120.0
188,98,404,6,197.0208105147864
189,98,404,7,197.11042311661507
190,98,404,8,202.86029817780232
191,98,404,9,163.50293542074365
192,98,404,10,169.34143377885783
193,98,404,11,167.2210589291056
194,98,404,12,166.73267326732673
195,98,404,13,168.17884405670665
196,98,404,14,194.91735537190084
197,98,404,15,196.49906890130353
198,98,404,16,201.17107942973524
199,98,404,17,207.31472569778634
200,98,404,18,208.51441241685143
201,98,404,19,204.00858983536148
202,98,404,20,203.62023070097604
203,98,404,21,195.35608308605342
204,98,404,22,164.00151285930409
205,98,404,23,164.25708884688092
207,98,1016,1,120.0
208,98,1016,2,120.0
209,98,1016,5,154.6659364731654
210,98,1016,6,155.79641847313854
211,98,1016,7,173.72093023255815
212,98,1016,8,177.8576741879494
213,98,1016,9,164.17734495130702
214,98,1016,10,161.41252006420547
215,98,1016,11,162.9274696422711
216,98,1016,12,161.26995388435614
217,98,1016,13,161.7624521072797
218,98,1016,14,160.24960998439937
219,98,1016,15,164.56890198968313
220,98,1016,16,163.46909439386678
221,98,1016,17,163.5385361124576
222,98,1016,18,164.37270726338957
223,98,1016,19,163.20625610948193
224,98,1016,20,164.00307337687283
225,98,1016,21,162.69101751770407
226,98,1016,22,164.00307337687283
227,98,1016,23,123.81841323716588
232,128,1000,0,120.0
233,128,1000,1,120.0
234,128,1000,2,120.0
235,128,1000,5,120.0
236,128,1000,6,120.0
237,128,1000,7,120.0
238,128,1000,8,120.0
239,128,1000,9,120.0
240,128,1000,10,120.0
241,128,1000,11,120.0
242,128,1000,12,120.0
243,128,1000,13,120.0
244,128,1000,14,120.0
245,128,1000,15,120.0
246,128,1000,16,120.0
