Incident Number,Day,Month,Hour,Lat,Long
16-0028599,7,Sunday,May,42.268038,-71.099178
16-0028603,7,Sunday,May,33.696779,-117.7757133
16-0028605,7,Sunday,May,,
16-0028606,8,Sunday,May,42.2826604,-71.0562273
16-0028607,8,Sunday,May,42.2826604,-71.0562273
16-0028608,8,Sunday,May,42.2826604,-71.0562273
16-0028609,8,Sunday,May,,
16-0028610,8,Sunday,May,52.9500834,-0.0310881
16-0028611,8,Sunday,May,,
16-0028613,8,Sunday,May,,
16-0028615,9,Sunday,May,,
16-0028619,10,Sunday,May,42.2819931,-71.0651295
16-0028622,10,Sunday,May,38.5442908,-76.0840934
16-0028623,10,Sunday,May,42.281955,-71.079129
16-0028624,10,Sunday,May,42.356624,-71.0716691
16-0028625,10,Sunday,May,42.3345378,-71.0895089
16-0028627,10,Sunday,May,42.3345126,-71.1054205
16-0028628,10,Sunday,May,,
16-0028629,10,Sunday,May,42.2816251,-71.0731554
16-0028630,10,Sunday,May,42.317281,-71.09485
16-0028632,10,Sunday,May,,
16-0028633,10,Sunday,May,42.373003,-71.041188
16-0028634,10,Sunday,May,,
16-0028635,10,Sunday,May,42.2973205,-71.0744952
16-0028639,11,Sunday,May,33.1398875,-80.3942635
16-0028640,11,Sunday,May,42.292987,-71.081442
16-0028642,11,Sunday,May,42.2862098,-71.0453276
16-0028643,11,Sunday,May,41.402636,-87.3891887
16-0028645,11,Sunday,May,,
16-0028646,11,Sunday,May,42.285453,-71.094069
16-0028649,11,Sunday,May,42.3292871,-71.0529096
16-0028650,11,Sunday,May,14.2797483,120.9732905
16-0028651,11,Sunday,May,42.3604823,-71.0595678
16-0028652,11,Sunday,May,42.335503,-71.097175
16-0028653,11,Sunday,May,42.3604823,-71.0595678
16-0028655,11,Sunday,May,42.3058297,-71.147471
16-0028656,11,Sunday,May,42.2504821,-71.1230975
16-0028657,12,Sunday,May,42.295386,-71.070547
16-0028659,12,Sunday,May,42.292987,-71.081442
16-0028660,12,Sunday,May,33.1398875,-80.3942635
16-0028664,12,Sunday,May,42.2826604,-71.0562273
16-0028665,12,Sunday,May,43.2494702,-89.6749947
16-0028666,12,Sunday,May,42.319213,-71.090238
16-0028667,12,Sunday,May,42.317281,-71.09485
16-0028668,12,Sunday,May,-36.9014789,174.8995211
16-0028669,12,Sunday,May,42.2514877,-71.1147738
16-0028670,12,Sunday,May,42.280333,-71.075467
16-0028671,12,Sunday,May,,
16-0028673,12,Sunday,May,42.33867205,-71.0904450030373
16-0028675,13,Sunday,May,,
16-0028676,13,Sunday,May,42.3374108,-71.0718804
16-0028677,13,Sunday,May,,
16-0028678,13,Sunday,May,42.3346495,-71.0732123032609
16-0028680,13,Sunday,May,38.575263,-76.081268
16-0028682,13,Sunday,May,42.309344,-71.10715
16-0028683,13,Sunday,May,,
16-0028684,13,Sunday,May,,
16-0028685,13,Sunday,May,,
16-0028688,13,Sunday,May,,
16-0028689,13,Sunday,May,42.3356851,-71.0828233
16-0028690,13,Sunday,May,42.3588276,-71.0572601
16-0028691,13,Sunday,May,42.292987,-71.081442
16-0028692,14,Sunday,May,-34.6845525,135.830297582874
16-0028697,14,Sunday,May,42.333125,-71.034338
16-0028698,14,Sunday,May,42.3103613,-71.1626429
16-0028699,14,Sunday,May,33.1398875,-80.3942635
16-0028700,14,Sunday,May,42.277008,-71.086223
16-0028701,14,Sunday,May,42.3371008,-71.1018795639118
16-0028702,14,Sunday,May,42.3295146,-71.096173
16-0028703,14,Sunday,May,,
16-0028704,14,Sunday,May,42.3158007,-71.0637125
16-0028706,14,Sunday,May,,
16-0028707,14,Sunday,May,42.35309015,-71.0582398946109
16-0028711,14,Sunday,May,42.314341,-71.056325
16-0028717,15,Sunday,May,,
16-0028718,15,Sunday,May,42.3397554,-71.1049218220988
16-0028719,15,Sunday,May,33.1398875,-80.3942635
16-0028720,15,Sunday,May,42.3318602,-71.0507707
16-0028722,15,Sunday,May,42.2514877,-71.1147738
16-0028723,15,Sunday,May,42.373003,-71.041188
16-0028725,15,Sunday,May,,
16-0028726,15,Sunday,May,42.34945225,-71.0922287798825
16-0028727,15,Sunday,May,33.1398875,-80.3942635
16-0028728,15,Sunday,May,42.302538,-71.063035
16-0028729,15,Sunday,May,,
16-0028730,15,Sunday,May,42.2853654,-71.15340845
16-0028732,16,Sunday,May,,
16-0028737,16,Sunday,May,42.319494,-71.097312
16-0028742,17,Sunday,May,42.329009,-71.086067
16-0028744,17,Sunday,May,,
16-0028745,17,Sunday,May,42.2826604,-71.0562273
16-0028746,17,Sunday,May,42.2826604,-71.0562273
16-0028747,17,Sunday,May,42.306269,-71.078567
16-0028749,18,Sunday,May,42.30329,-71.1297
16-0028750,18,Sunday,May,,
16-0028751,18,Sunday,May,42.346988,-71.0751345
16-0028754,18,Sunday,May,41.397606,-96.209458
16-0028756,18,Sunday,May,42.339219,-71.0355261
16-0028757,18,Sunday,May,,
16-0028760,18,Sunday,May,45.8992863,-64.5170033
16-0028764,19,Sunday,May,42.3464814,-71.0814679462404
16-0028765,19,Sunday,May,42.3593398,-71.0535429
16-0028766,19,Sunday,May,,
16-0028767,19,Sunday,May,42.297733,-71.059023
16-0028768,19,Sunday,May,,
16-0028769,19,Sunday,May,,
16-0028770,19,Sunday,May,,
16-0028774,19,Sunday,May,42.3503,-71.042816
16-0028775,19,Sunday,May,42.265988,-71.114811
16-0028776,19,Sunday,May,42.754831,-71.887872
16-0028779,20,Sunday,May,,
16-0028782,21,Sunday,May,42.3280082,-71.0829258
16-0028785,21,Sunday,May,42.3653751,-71.0675513
16-0028788,21,Sunday,May,,
16-0028790,21,Sunday,May,42.241576,-71.1368836
16-0028792,21,Sunday,May,,
16-0028795,22,Sunday,May,41.2749005,-72.4766958
16-0028796,22,Sunday,May,42.317768,-71.097403
16-0028798,23,Sunday,May,42.270904,-71.105193
16-0028799,23,Sunday,May,42.289701,-71.061774
16-0028801,23,Sunday,May,42.309192,-71.067222
16-0028802,23,Sunday,May,,
16-0028804,23,Sunday,May,,
16-0028806,0,Monday,May,,
16-0028808,0,Monday,May,42.323737,-71.084293
16-0028809,1,Monday,May,42.331451,-71.036437
