Incident Number,Day,Month,Hour,Lat,Long
16-0000236,0,Saturday,January,42.305038,-71.110102
16-0000239,0,Saturday,January,42.322527,-71.088543
16-0000243,1,Saturday,January,42.33568,-71.1060436296658
16-0000244,1,Saturday,January,42.34855,-71.0755607
16-0000245,1,Saturday,January,42.3248426,-71.0950158
16-0000247,1,Saturday,January,,
16-0000248,1,Saturday,January,42.286867,-71.088508
16-0000251,2,Saturday,January,,
16-0000252,2,Saturday,January,,
16-0000255,4,Saturday,January,,
16-0000257,4,Saturday,January,,
16-0000258,5,Saturday,January,42.27874,-71.079765
16-0000259,5,Saturday,January,42.3604823,-71.0595678
16-0000260,5,Saturday,January,42.3604823,-71.0595678
16-0000261,5,Saturday,January,42.3672928,-71.0692326
16-0000263,6,Saturday,January,42.9908333,-80.2705126
16-0000264,6,Saturday,January,42.333268,-71.053694
16-0000265,6,Saturday,January,,
16-0000266,7,Saturday,January,,
16-0000270,8,Saturday,January,,
16-0000273,8,Saturday,January,,
16-0000274,9,Saturday,January,,
16-0000276,9,Saturday,January,37.9997955,-86.0107981
16-0000277,9,Saturday,January,42.358606,-71.065076
16-0000279,9,Saturday,January,42.347664,-71.0730394
16-0000281,9,Saturday,January,42.9908333,-80.2705126
16-0000282,9,Saturday,January,,
16-0000283,9,Saturday,January,,
16-0000285,9,Saturday,January,42.347664,-71.0730394
16-0000288,10,Saturday,January,42.3319603,-71.1120478
16-0000290,10,Saturday,January,41.397606,-96.209458
16-0000293,10,Saturday,January,42.3459398,-71.024938
16-0000297,11,Saturday,January,42.26796,-71.106508
16-0000298,11,Saturday,January,,
16-0000299,11,Saturday,January,33.1398875,-80.3942635
16-0000301,11,Saturday,January,,
16-0000303,11,Saturday,January,32.9557278,-80.1703711
16-0000305,11,Saturday,January,,
16-0000308,12,Saturday,January,,
16-0000310,12,Saturday,January,42.290743,-71.085028
16-0000311,12,Saturday,January,42.3429019,-71.0574784
16-0000313,12,Saturday,January,10.0136803,-83.2552645
16-0000315,12,Saturday,January,,
16-0000316,12,Saturday,January,42.3573374,-71.0549013
16-0000317,12,Saturday,January,42.3350044,-71.0885753
16-0000319,13,Saturday,January,42.237462,-71.126633
16-0000321,13,Saturday,January,-34.6845525,135.830297582874
16-0000323,13,Saturday,January,,
16-0000325,13,Saturday,January,42.3594422,-71.0556378
16-0000326,13,Saturday,January,42.330527,-71.080332
16-0000328,13,Saturday,January,42.315513,-71.098269
16-0000329,14,Saturday,January,42.3416526,-71.0572844
16-0000331,14,Saturday,January,42.32677425,-71.1099924259003
16-0000333,14,Saturday,January,42.341473,-71.074713
16-0000336,14,Saturday,January,,
16-0000342,15,Saturday,January,42.256855,-71.127738
16-0000346,16,Saturday,January,,
16-0000348,16,Saturday,January,42.3501019,-71.0596026
16-0000349,16,Saturday,January,42.2713409,-71.1046549
16-0000352,17,Saturday,January,42.313129,-71.095359
16-0000357,18,Saturday,January,42.290023,-71.066874
16-0000358,18,Saturday,January,42.302704,-71.066014
16-0000359,18,Saturday,January,42.3350044,-71.0885753
16-0000360,18,Saturday,January,32.943094,-80.227097
16-0000361,18,Saturday,January,10.0136803,-83.2552645
16-0000364,18,Saturday,January,42.262002,-71.112383
16-0000367,19,Saturday,January,,
16-0000371,19,Saturday,January,42.313129,-71.095359
16-0000372,19,Saturday,January,42.3582926,-71.0602525
16-0000373,19,Saturday,January,,
16-0000375,19,Saturday,January,42.3624825,-71.0577527
16-0000376,19,Saturday,January,42.3600431,-71.054636718502
16-0000377,19,Saturday,January,,
16-0000379,19,Saturday,January,42.3653751,-71.0675513
16-0000381,19,Saturday,January,42.376652,-71.036256
16-0000384,20,Saturday,January,,
16-0000386,20,Saturday,January,42.3582926,-71.0602525
16-0000392,20,Saturday,January,42.2746,-71.078913
16-0000393,20,Saturday,January,33.1398875,-80.3942635
16-0000396,21,Saturday,January,41.397606,-96.209458
16-0000399,22,Saturday,January,42.3832783,-71.0232279
