Incident Number,Day,Month,Hour,Lat,Long
16-0000375,19,Saturday,0,42.3624825,-71.0577527
16-0000376,19,Saturday,0,42.3600431,-71.05463672
16-0000379,19,Saturday,0,42.3653751,-71.0675513
16-0000381,19,Saturday,0,42.376652,-71.036256
16-0000386,20,Saturday,0,42.3582926,-71.0602525
16-0000392,20,Saturday,0,42.2746,-71.078913
16-0000396,21,Saturday,0,41.397606,-96.209458
16-0000399,22,Saturday,0,42.3832783,-71.0232279
16-0000401,22,Saturday,0,42.2713409,-71.1046549
16-0000404,22,Saturday,0,42.306269,-71.078567
16-0000407,22,Saturday,0,42.315584,-71.075024
16-0000410,23,Saturday,0,42.2816251,-71.0731554
16-0000411,23,Saturday,0,42.318584,-71.087679
16-0000415,23,Saturday,0,42.328017,-71.0549687
16-0000418,0,Sunday,0,42.3334312,-71.0439392
16-0000419,0,Sunday,0,42.3501019,-71.0596026
16-0000420,0,Sunday,0,42.319571,-71.064202
16-0000422,0,Sunday,0,42.3481247,-71.0611242
16-0000423,0,Sunday,0,42.313129,-71.095359
16-0000428,2,Sunday,0,42.27874,-71.079765
16-0000429,2,Sunday,0,42.3500548,-71.0774775
16-0000435,3,Sunday,0,41.3831566,-71.641729
16-0000441,5,Sunday,0,42.2969312,-71.1143919
16-0000445,7,Sunday,0,42.3348931,-71.0884934
16-0000447,8,Sunday,0,42.3461453,-71.0799653
16-0000449,8,Sunday,0,42.2792649,-71.1494972
16-0000453,9,Sunday,0,42.3741282,-71.0328065
16-0000458,9,Sunday,0,42.317588,-71.109815
16-0000464,10,Sunday,0,42.3335133,-71.098353
16-0000465,10,Sunday,0,42.306269,-71.078567
16-0000466,10,Sunday,0,42.317768,-71.097403
16-0000467,10,Sunday,0,42.2713823,-71.0681607
16-0000468,10,Sunday,0,42.3459398,-71.024938
16-0000469,10,Sunday,0,42.3350044,-71.0885753
16-0000471,10,Sunday,0,42.33703905,-71.07106376
16-0000472,10,Sunday,0,42.306269,-71.078567
16-0000473,10,Sunday,0,42.3199571,-71.1117076
16-0000476,10,Sunday,0,42.317196,-71.0649343
16-0000479,11,Sunday,0,42.326548,-71.104135
16-0000480,11,Sunday,0,42.331396,-71.104978
16-0000483,11,Sunday,0,42.3348931,-71.0884934
16-0000486,12,Sunday,0,42.9908333,-80.2705126
16-0000487,12,Sunday,0,42.285564,-71.091106
16-0000492,12,Sunday,0,42.321579,-71.119817
16-0000494,12,Sunday,0,42.3374108,-71.0718804
16-0000499,13,Sunday,0,42.29558,-71.074256
16-0000500,13,Sunday,0,42.3587017,-71.0628791
16-0000503,13,Sunday,0,42.3248426,-71.0950158
16-0000504,13,Sunday,0,42.391179,-71.004135
16-0000507,13,Sunday,0,42.3440103,-71.0901672
16-0000510,14,Sunday,0,42.3553922,-71.06273557
16-0000521,15,Sunday,0,42.3275984,-71.0612756
16-0000529,16,Sunday,0,42.3403161,-71.0692782
16-0000530,16,Sunday,0,42.3384241,-71.0819833
16-0000538,18,Sunday,0,42.351694,-71.0781296
16-0000539,18,Sunday,0,42.3164036,-71.1150267
16-0000544,19,Sunday,0,42.3374108,-71.0718804
16-0000545,19,Sunday,0,42.332364,-71.106374
16-0000547,19,Sunday,0,42.317768,-71.097403
16-0000548,19,Sunday,0,42.313129,-71.095359
16-0000549,19,Sunday,0,42.3012981,-71.1125139
16-0000550,19,Sunday,0,42.315513,-71.098269
16-0000551,19,Sunday,0,42.313129,-71.095359
16-0000552,20,Sunday,0,42.376652,-71.036256
16-0000553,20,Sunday,0,42.303907,-71.057372
16-0000554,20,Sunday,0,42.339429,-71.078003
16-0000556,20,Sunday,0,42.3348931,-71.0884934
16-0000558,20,Sunday,0,42.3587085,-71.067829
16-0000559,20,Sunday,0,42.3042649,-71.0744953
16-0000560,20,Sunday,0,42.371874,-71.067064
16-0000561,21,Sunday,0,42.334251,-71.050896
16-0000564,21,Sunday,0,42.2792649,-71.1494972
16-0000569,22,Sunday,0,42.3171276,-71.0653791
16-0000576,23,Sunday,0,42.2971729,-71.04536306
16-0000577,23,Sunday,0,42.296243,-71.084465
16-0000579,23,Sunday,0,42.317196,-71.0649343
16-0000582,0,Monday,0,42.2514877,-71.1147738
