Lat	Long
42.33496897	-71.03715246
42.33987104	-71.06860095
42.36084207	-71.06568058
42.37911937	-71.03023894
42.34892377	-71.07098578
42.3657803	-71.05314491
42.36805387	-71.03871733
42.32884308	-71.08233713
42.27825615	-71.07878591
42.30772859	-71.06160173
42.28650144	-71.0638508
42.28858741	-71.0478475
42.31831673	-71.06321098
42.34044596	-71.07753648
42.30748601	-71.08224178
42.34269122	-71.15341687
42.2840216	-71.15653906
42.38382955	-71.0715913
42.34812236	-71.08555793
42.33718468	-71.09605968
42.3395934	-71.05047808
42.35380923	-71.13611965
42.31839252	-71.09774856
42.25514165	-71.11984846
42.23679228	-71.13124174
42.37423935	-71.06112714
42.35127647	-71.16816281
42.29090192	-71.08969672
42.27901986	-71.11749624
42.26398177	-71.15485285
42.38774884	-71.00418607
42.31057528	-71.11440019
42.35509172	-71.05299755
42.33131923	-71.06963425
42.36664322	-71.0496641
