Lat,Long
42.300022,-71.106033
42.339726,-71.10678
42.318569,-71.092712
42.329944,-71.107615
42.2713,-71.081888
42.336883,-71.072029
42.329944,-71.107615
42.361888,-71.071597
42.344524,-71.143257
42.33611,-71.108736
42.278793,-71.0667
42.349919,-71.064105
42.300951,-71.127683
42.349484,-71.148694
42.363078,-71.06778
42.337397,-71.105364
42.3162,-71.112946
42.313434,-71.063289
42.365851,-71.064181
42.349686,-71.145444
42.338267,-71.110396
42.337085,-71.108031
42.362495,-71.070473
42.335459,-71.074854
